file_name,caption,duration
107140.wav,Gusts of wind blowing followed by harp music then more wind blowing and birds chirping in the background,10.0
105620.wav,A toilet flushing,10.0
106573.wav,"Distant, muffled murmuring together with an engine running continuously and light wind",10.0
103701.wav,People speaking with loud bangs followed by a slow motion rumble,10.0
106598.wav,Water splashing occurs while a person quacks to imitate a duck and an adult female laughs,10.0
105212.wav,A series of synthesized laser effects,10.0
103482.wav,A vehicle engine revving several times with a series of compressed air releasing and plastic pops,10.0
102753.wav,A group of people laughing followed by a man talking,10.0
106519.wav,A very light snoring,10.0
103667.wav,An ambulance sounds the siren,10.0
107135.wav,A cat meows and a woman speaks,10.0
106220.wav,Motor boat cruising over water people speaking,10.0
106823.wav,A tapping noise followed by a child speaking,10.0
106572.wav,"People are speaking while an engine is running, and an emergency vehicle sounds horn",10.0
103869.wav,A man talking on loudspeakers along with an idling truck and a bustling crowd,10.0
104780.wav,A vehicle horn honking as a motor engine gurgles and wind blows into a microphone,10.0
106998.wav,A small gun being shot repeatedly.,10.0
105875.wav,Muffled man speech with tapping and clicks,10.0
104025.wav,A vehicle engine is idling and rooms,10.0
107407.wav,Wind blows followed by rustling and scraping,10.0
103695.wav,Humming of a loud engine with a woman speaking over a loudspeaker,10.0
104668.wav,Dishes and silverware rattle and click from movement,10.0
106507.wav,"A large volume of water is rushing fast, splashing and roaring, and an adult male shout in the background",10.0
104779.wav,Tick took of a clock,10.0
104607.wav,Repetitive whoosh noises with a loud boom,10.0
107159.wav,Waves crash against a shore,10.0
106103.wav,An adult female speaks in a quiet environment,10.0
103411.wav,Wind blowing hard and waves crashing and splashing,10.0
103256.wav,An emergency siren wailing followed by a large truck engine running idle,10.0
107148.wav,A pig squeals and men speak,10.0
107166.wav,"A fire engine horn blows, followed by a fire engine siren blowing",10.0
105097.wav,Humming noise with clock tick-tocking,10.0
105767.wav,An emergency siren ringing with car horn honking,10.0
103278.wav,Church bells ringing as a crowd of people talk in the distance while rain falls alongside wind blowing into a microphone,10.0
106298.wav,"Waves crashing, birds chirping lightly and a brief musical tone",10.0
106703.wav,Ducks quack with blowing wind and faint splashes,10.0
107283.wav,Several ducks quack and chirp as men speak and wind blows,10.0
104096.wav,Vacuum cleaner sucks something.,10.0
106583.wav,Men speak followed by a small burst and people laughing,10.0
103453.wav,Clip clops of horses on a hard surface,10.0
104447.wav,A toilet is flushed,10.0
102903.wav,Porcelain dishes clank followed by metal rattling,10.0
105086.wav,Drums and music playing with a man speaking,10.0
105051.wav,Gravely sound with women voice in background,10.0
103786.wav,Waves breaking and some wind,10.0
104891.wav,A vacuum moving back and forth,10.0
26672.wav,A loud bang followed by silence,10.0
106405.wav,Burping and then laughter,10.0
106786.wav,Audio feedback followed by an animal breathing then camera muffling and footsteps shuffling on a hard surface,10.0
105623.wav,A motorboat engine running as two women are talking and wind is blowing into a microphone,10.0
104062.wav,A woman laughing followed by the bleating of sheep and a soft breeze,10.0
103836.wav,An idle vehicle engine running,10.0
104291.wav,A train running on railroad tracks as a train horn blows several times alongside a child yelling in the distance followed by a man speaking then a child speaking in the background,10.0
103010.wav,Water running from a flushed toilet,10.0
106699.wav,An engine revving,10.0
106658.wav,"Escaping steam is hissing, while a tool motor runs and suction is present",10.0
104743.wav,A young woman speaks loudly with a toilet flushing sound,10.0
104197.wav,A couple of whistling sounds one after another,10.0
106480.wav,Church bells ringing as rain pours and wind blows into a microphone,10.0
105478.wav,Rain falling followed by fabric rustling and footsteps shuffling then a vehicle door opening and closing as plastic crinkles,10.0
106319.wav,Continuous gunfire and shells hitting the ground,10.0
103146.wav,Rustling followed by brief speech and water running,10.0
104318.wav,Several distorted belches followed by non-distorted burps,10.0
105956.wav,Plastic camera muffling followed by a man yelling as a pig squeals,10.0
103847.wav,Burping noise while a woman talks followed by a woman laughing with a television playing in the background,10.0
105969.wav,A toilet flushing,10.0
105588.wav,Two woman speaking then a baby crying,10.0
106737.wav,A series of train horns honking as birds chirp and a man talks in the background,10.0
103408.wav,An infant yelling as a young boy talks while a hard surface is slapped several times,10.0
104014.wav,A faucet pouring water then turning off followed by water draining down a pipe,10.0
103943.wav,A vehicle door opening as birds chirp and vehicles pass by in the background,10.0
104772.wav,A group of people laughing followed by a young man talking,10.0
107396.wav,A distant engine hums and gets louder as it approaches with squealing tires,10.0
103967.wav,A pig oinking followed by a man screaming,10.0
105899.wav,Rain pours down with loud thunder,10.0
106684.wav,A woman talking followed by a young girl talking as a toilet flushes,10.0
105381.wav,A steady ringing with the tick took of a clock,10.0
20435.wav,A couple of horses are slowly walking in unison,10.0
17422.wav,Dog panting followed by footsteps,10.0
104055.wav,Water trickling and dripping as a crowd of people talk in the background,10.0
105881.wav,Burping and then laughing with continuous burping,10.0
103857.wav,A baby cries and shout from time to time,10.0
103769.wav,Humming of a loud powerful engine starting and speeding into the distance,10.0
106218.wav,Rain and thunder,10.0
103250.wav,Water flowing down a flushed toilet,10.0
103404.wav,"A baby cries while electronic speech occurs in the background, an adult female speaks, a sneeze occurs, and an adult female speaks once more",10.0
102784.wav,Humming noise then sneezing and coughing,10.0
103499.wav,A man talking as an infant is crying followed by a man humming,10.0
102971.wav,A loud engine roars followed by four loud beeps.,10.0
107427.wav,"Rain is splashing on a surface while rustling occurs and a car door shuts, and traffic is discernible in the distance",10.0
103090.wav,Wind blowing followed by a distant goat bleating and women speaking,10.0
105473.wav,Wind and surf with water splashing,10.0
106856.wav,Digital beeping and clicks,10.0
6466.wav,Two quick whistle sounds with water splashing and mixed with kids playing,10.0
9031.wav,A rolling train blows its horn multiple times,10.0
104895.wav,A series of bell chime,10.0
103868.wav,Footsteps shuffling on a hard surface followed by a person snoring,10.0
103031.wav,A person is snoring,10.0
104525.wav,A truck horn honking as a large truck engine drives by while a crowd of people talk in the background,10.0
106413.wav,A series of belching followed by a group of kids laughing,10.0
103491.wav,Humming and accelerating of a car engine with squealing tires and people speaking faintly,10.0
27609.wav,Rustling and shaking followed by a horn and gusts of wind,10.0
105593.wav,A cat meowing followed by metal clacking as a water sprinkler sprays in the background,10.0
105861.wav,A dog panting and some rustling of footsteps,10.0
105383.wav,A man talking before and after a young kid talks as plastic rattles followed by an electronic beep,10.0
106265.wav,A male speaks then a click followed by a whine and a series of loud beeps,10.0
105853.wav,A sewing machine operating idle followed by a man talking then several instances of metal ratcheting,10.0
102960.wav,Water splashes and people scream and speak and laugh,10.0
105998.wav,A plastic clack followed by whistling in the distance as a motor engine loudly operates and steam hisses,10.0
104053.wav,Wind blowing and waves crashing,10.0
104541.wav,A young boy crying as a woman is talking,10.0
104670.wav,"Metal clinks five times, a coin drops, knocking on glass occurs, a coin drops again, and a small child speaks",10.0
106088.wav,Typing on a computer keyboard for a few seconds,10.0
106272.wav,One long chime,10.0
11251.wav,A sleeping person snores loudly,10.0
106372.wav,A crowd of people talking as ducks quack and a motorboat speeds by in the distance,10.0
103657.wav,An infant crying followed by a child speaking in the background then a young woman talking,10.0
106044.wav,Screaming and a big explosion and then screaming,10.0
104093.wav,A man talking as a cat wails and hisses while a woman laughs then talks,10.0
105031.wav,Wind blowing heavily into a microphone as seagulls squawk and ocean waves crash in the background,10.0
103764.wav,A group of children talking as a man talks over an intercom while a large truck engine runs followed by compressed air releasing,10.0
103969.wav,Bells chiming as a clock is ticking,10.0
105533.wav,An emergency siren with horn honking,10.0
106626.wav,Rain falling followed by footsteps walking on grass then a vehicle door opening then closing,10.0
104027.wav,An engine revving inconsistently,10.0
105554.wav,Muffled speech and buzzing,10.0
102988.wav,Men humming and talking with baby crying in the background,10.0
107088.wav,"Heavy, continuous wind",10.0
106569.wav,A series of loud metal hammering as liquid drains down a pipe followed by a metal chain rattling,10.0
104087.wav,A woman and a boy speaking in a foreign language then a baby cries and the boy laughs.,10.0
103876.wav,A bird tweets far away and someone flushes the toilet,10.0
103754.wav,An engine revving as it idles,10.0
103855.wav,The clinking of glasses with some rustling,10.0
103747.wav,Large church bells ring as rain falls on a hard surface and wind blows lightly into a microphone,10.0
103128.wav,Splashing water with children speaking and people screaming with a distant blow of a whistle,10.0
107177.wav,Bells chime and ring,10.0
105894.wav,Footsteps and a croaking frog,10.0
105615.wav,A train horn blowing multiple times as a train runs on railroad tracks while a man and a young kid talk in the background alongside birds cooing in the distance,10.0
103931.wav,A man talking followed by a series of belches,10.0
105662.wav,"A cat meows and thumps occur twice, while talking is present in the far background",10.0
104610.wav,Ocean waves are hitting the shores,10.0
103824.wav,Music plays briefly and wind blows and birds sing in background,10.0
105702.wav,Music and a male speech,10.0
106078.wav,A young kid speaking with a series of slapping on a hard surface as a baby is yelling,10.0
103694.wav,A man baaing followed by a goat baaing as a child and a woman talk while metal pots clank in the background,10.0
107118.wav,A door pounding and rattling,10.0
105544.wav,A dog whimpering followed by footsteps shuffling and tapping then a dog growling as a motor hums in the background,10.0
106016.wav,A toilet flushes and water drains,10.0
106820.wav,Muffled water splashing and ocean waves crashing during plastic camera muffling,10.0
106749.wav,A frog croaking as a woman talks through an intercom while water is splashing and wood clanks in the background,10.0
102921.wav,A dog is panting in a very fast tempo while barking few times,10.0
105408.wav,"A fire truck engine runs and the siren is blowing but stops, traffic is present, the fire truck horn honks twice, and the siren begins again",10.0
103941.wav,"Loud bustle and screech of traffic, with some voices in the background",10.0
107388.wav,A clock ticking,10.0
106169.wav,Plastic tapping as a person is snoring,10.0
104339.wav,A man speaks during rhythmic cutting,10.0
103442.wav,Faint quacking of a duck with some light clicks and rustling,10.0
107001.wav,A duck quacks and splashes and a human chuckles,10.0
107385.wav,"A baby is crying and a child speaks in the background, then an adult female speaks and the baby sobs",10.0
103481.wav,Humming from loud engines with men speaking over the radio,10.0
105417.wav,Footsteps shuffling followed a cat meowing then a toilet flushing,10.0
